Application Number,Voucher Number,Child Age (at time of Application),Gender,Has your child played sport before?,Participation Activity,Club Name,Club Suburb/Town,Club Local Government Area Name,Club State Electoral District  Name,Parent Suburb/Town,Total Payment
2000007748,6CPCB4Z7,11,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000002048,KHNWBG3Y,11,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000004735,2QJOPTCQ,12,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Acacia Ridge,150
2000005190,ZK2B7W9P,12,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Mount Gravatt East,150
2000005076,FS9NLLRV,12,,No,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000009445,HX5N90LM,12,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Mount Sheridan,150
2000012902,Y39WPNZH,12,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Gordonvale,150
2000008776,KKUOP84I,12,,Yes,Athletics,Springwood Branch Little Athletics Centre Inc,Meadowbrook,Logan (C),Waterford,Crestmead,150
2000002615,1M5T3KJS,12,,Yes,Athletics,Wulguru Branch Little Athletics Centre Inc,Wulguru,Townsville (C),Burdekin,Kirwan,150
2000012102,FNO6OERG,13,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Logan Central,150
2000004818,6DX594L9,13,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Taigum,150
2000008767,2ACYY36Y,13,,Yes,Athletics,Springwood Branch Little Athletics Centre Inc,Meadowbrook,Logan (C),Waterford,Crestmead,150
2000012103,X8BM4BUK,14,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Logan Central,150
2000012679,MTE92JO0,14,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Annerley,150
2000010997,KGNZI1VM,14,,Yes,Athletics,Cairns Athletics Inc,Parramatta Park,Cairns (R),Cairns,Parramatta Park,150
2000001509,7ISE7BLF,14,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Greenbank,150
2000003262,PO35X5GL,14,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Mitchelton,150
2000007764,F8O354LT,14,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000010325,4Y1WZVC6,14,,Yes,Athletics,Ignition Athletics Inc,Upper Coomera,Gold Coast (C),Albert,Benowa,150
2000005047,WFU0RHKS,15,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Zillmere,150
2000004734,7DLQPXAB,15,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Acacia Ridge,150
2000004949,2XIRAV71,15,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Logan Reserve,150
2000007566,NYOZFE4T,16,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000005212,4WCZHBLV,17,,No,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Zillmere,150
2000005205,7UJPZ2ET,17,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Mount Gravatt East,150
2000005652,JHVF28FN,17,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Acacia Ridge,150
2000007763,BF0WO0UD,17,,Yes,Athletics,Fast Track Athletics Inc,Daisy Hill,Logan (C),Springwood,Kingston,150
2000010344,ZBHO68YX,17,,Yes,Athletics,Ignition Athletics Inc,Upper Coomera,Gold Coast (C),Albert,Benowa,150
2000002127,SYAN9B91,5,,No,Athletics,Jimboomba Branch Little Athletics Centre Inc,Jimboomba,Logan (C),Beaudesert,New Beith,150
2000009540,JO3T16JX,5,,Yes,Athletics,Jimboomba Branch Little Athletics Centre Inc,Jimboomba,Logan (C),Beaudesert,Jimboomba,150
2000001778,VW0BVBED,10,,Yes,Athletics,Jimboomba Branch Little Athletics Centre Inc,Jimboomba,Logan (C),Beaudesert,Jimboomba,150
2000009535,98B78RNI,11,,Yes,Athletics,Jimboomba Branch Little Athletics Centre Inc,Jimboomba,Logan (C),Beaudesert,Jimboomba,150
2000008937,T342VB0K,10,,No,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,Mt Louisa,150
2000008442,ODBDLLFG,10,,Yes,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,Townsville,150
2000008429,HIMLHJJP,13,,Yes,Athletics,Townsville North Star Athletics Club Inc,Currajong,Townsville (C),Townsville,Townsville,150
2000000207,VYPJN04T,10,,Yes,Athletics,Eidsvold Branch Little Athletics Centre Inc,Eidsvold,North Burnett (R),Callide,Eidsvold,150
2000004130,ZP2IWDKV,12,,Yes,Athletics,Caboolture Branch Little Athletics Centre Inc,Caboolture,Moreton Bay (R),Morayfield,Morayfield,150
2000007128,JB8HERI3,6,,No,Athletics,Sunnybank Branch Little Athletics Centre,Sunnybank,Brisbane (C),Sunnybank,Eight Mile Plains,150
2000003771,ZLVNOSSX,9,,Yes,Athletics,Redlands Athletics Inc,Cleveland,Redland (C),Cleveland,Redland Bay,150
2000008286,HZ7MH8FN,5,,Yes,Australian Football,Sandgate Junior Australian Football Club Inc,Taigum,Brisbane (C),Sandgate,Taigum,55
2000012609,KF0C5C25,5,,Yes,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Highland Park,60
2000003075,GPCSWE4W,6,,No,Australian Football,Logan Cobras Junior AFL Inc,Tanah Merah,Logan (C),Waterford,Loganholme,60
2000002642,TV5I59PO,6,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Westbrook,75
2000002662,LY5WRHWQ,6,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Westbrook,75
2000004476,XAX3VINO,6,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Harristown,75
2000007262,5QKXHO17,8,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,New Auckland,75
2000004484,B6SWRWOF,9,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Harristown,75
2000012500,4SZF47YS,5,,Yes,Australian Football,Ormeau Junior Australian Football Club Inc,Ormeau,Gold Coast (C),Albert,Ormeau,80
2000002327,E2CVH9G4,7,,Yes,Australian Football,Coolaroo Football Club Inc,Toowoomba,Toowoomba (R),Toowoomba South,Toowoomba,80
2000000335,TLNGYTX3,7,,Yes,Australian Football,Sherwood Football Club Limited,Chelmer,Brisbane (C),Indooroopilly,Oxley,80
2000001524,B1RSUPUW,5,,No,Australian Football,Morningside Australian Football Club,Morningside,Brisbane (C),Bulimba,Tingalpa,88
2000003449,LGZBYIMT,5,,Yes,Australian Football,Jimboomba Redbacks AFC Incorporated,Jimboomba,Logan (C),Beaudesert,Park Ridge,88
2000000848,842X99P6,5,,Yes,Australian Football,North Lakes Junior Australian Football Club Incorporated,Mango Hill,Moreton Bay (R),Murrumba,Kallangur,88
2000008469,2ZZIYZ5J,5,,Yes,Australian Football,Sandgate Junior Australian Football Club Inc,Taigum,Brisbane (C),Sandgate,Bracken Ridge,88
2000000045,N3OL7VEH,6,,Yes,Australian Football,Carindale Districts JAFC Inc,Belmont,Brisbane (C),Chatsworth,Mansfield,88
2000004826,794KX9FS,6,,Yes,Australian Football,Springfield Lakes Junior Australian Football Club,Springfield Lakes,Ipswich (C),Bundamba,Springfield Lakes,88
2000009509,OP24A9L6,7,,No,Australian Football,Calamvale Leopards Junior Australian Football Club,Calamvale,Brisbane (C),Stretton,Stretton,88
2000005124,0ESPXNIB,7,,No,Australian Football,Logan Cobras Junior AFL Inc,Tanah Merah,Logan (C),Waterford,Mt Warren Park,88
2000009892,UNB1EBUR,7,,No,Australian Football,Park Ridge JAFC Inc,Park Ridge,Logan (C),Algester,Hillcrest,88
2000012387,IV183VIO,7,,Yes,Australian Football,Coorparoo Juniors Australian Football Club Inc,Coorparoo,Brisbane (C),Greenslopes,Lota,88
2000001511,2MGT385C,7,,Yes,Australian Football,Morningside Australian Football Club,Morningside,Brisbane (C),Bulimba,Tingalpa,88
2000012380,E1OFSPTU,7,,Yes,Australian Football,Sandgate Junior Australian Football Club Inc,Taigum,Brisbane (C),Sandgate,Bracken Ridge,88
2000005830,XQKG88DL,7,,Yes,Australian Football,Springwood Australian Football Club Incorporated,Underwood,Logan (C),Woodridge,Jimboomba,88
2000007316,M505MEFY,7,,Yes,Australian Football,Springwood Australian Football Club Incorporated,Underwood,Logan (C),Woodridge,Mansfield,88
2000004864,ZEJZL9YC,7,,Yes,Australian Football,Victoria Point Sharks Sporting Club Inc,Victoria Point,Redland (C),Redlands,Redland Bay,88
2000006842,FV9IT2WB,8,,No,Australian Football,Victoria Point Sharks Sporting Club Inc,Victoria Point,Redland (C),Redlands,Mount Cotton,88
2000007270,BWWDAKCY,8,,Yes,Australian Football,Calamvale Leopards Junior Australian Football Club,Calamvale,Brisbane (C),Stretton,Park Ridge South,88
2000002487,AE4DEKSA,5,,Yes,Australian Football,Surfers Paradise Australian Football Club Inc,Benowa,Gold Coast (C),Surfers Paradise,Bundall,90
2000002975,VP7E1VVK,5,,Yes,Australian Football,Surfers Paradise Australian Football Club Inc,Benowa,Gold Coast (C),Surfers Paradise,Molendinar,90
2000009281,TB7VO1WO,6,,No,Australian Football,Labrador Junior Australian Football Club Inc,Labrador,Gold Coast (C),Broadwater,Oxenford,90
2000012120,JRJK5ASU,6,,Yes,Australian Football,Burleigh Junior Australian Football Club Inc,Burleigh Waters,Gold Coast (C),Burleigh,Mudgeeraba,90
2000012159,ENPTHC9M,6,,Yes,Australian Football,Burleigh Junior Australian Football Club Inc,Burleigh Waters,Gold Coast (C),Burleigh,Burleigh Waters,90
2000004375,84YSCKP7,6,,Yes,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Worongary,90
2000006460,BF845CTP,6,,Yes,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Merrimac,90
2000011659,WY3HRQ0O,7,,No,Australian Football,Burleigh Junior Australian Football Club Inc,Burleigh Waters,Gold Coast (C),Burleigh,Robina,90
2000013191,1V6SAQFR,7,,No,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Nerang,90
2000013533,0YBTOHI4,7,,No,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Nerang,90
2000013549,JGYB4YCN,7,,No,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Nerang,90
2000005915,H6E9ULUQ,7,,Yes,Australian Football,Broadbeach Junior Australian Football Club Inc,Mermaid Waters,Gold Coast (C),Mermaid Beach,Mermaid Waters,90
2000010817,37PMA77K,7,,Yes,Australian Football,Burleigh Junior Australian Football Club Inc,Burleigh Waters,Gold Coast (C),Burleigh,Burleigh Waters,90
2000013613,4H2I0U5K,7,,Yes,Australian Football,Burleigh Junior Australian Football Club Inc,Burleigh Waters,Gold Coast (C),Burleigh,Miami,90
2000011089,DWA4JZQ6,7,,Yes,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Gilston,90
2000013365,8DZGSC5X,7,,Yes,Australian Football,Carrara Junior Australian Football Club Incorporated,Carrara,Gold Coast (C),Gaven,Nerang,90
2000008574,WDRMH6YE,11,,Yes,Australian Football,BAY POWER AUSTRALIAN FOOTBALL CLUB INC,Urangan,Hervey Bay,Hervey Bay,Point Vernon,90
2000000428,0HZUBLTD,11,,Yes,Australian Football,South Toowoomba Australian Football Club Inc,Harristown,Toowoomba (R),Toowoomba South,Newtown,90
2000006576,NGQW81KA,6,,No,Australian Football,Ipswich Central Junior Australian Football Club Inc,Ipswich,Ipswich (C),Ipswich,Brightview,93
2000007809,0TXZPQFM,6,,No,Australian Football,Ipswich Central Junior Australian Football Club Inc,Ipswich,Ipswich (C),Ipswich,Fernvale,93
2000000449,5MFERR6M,6,,Yes,Australian Football,Ipswich Central Junior Australian Football Club Inc,Ipswich,Ipswich (C),Ipswich,Blackstone,93
2000004648,U4BO11HP,7,,No,Australian Football,Ipswich Central Junior Australian Football Club Inc,Ipswich,Ipswich (C),Ipswich,Booval,93
2000007455,H58O9Y3F,5,,No,Australian Football,Coomera Magpies Junior A.F.C. Inc,Coomera,Gold Coast (C),Coomera,Coomera,95
2000009913,Q83U79XQ,6,,Yes,Australian Football,Coomera Magpies Junior A.F.C. Inc,Coomera,Gold Coast (C),Coomera,Coomera,95
2000004263,WGFJSB34,8,,Yes,Australian Football,Yeppoon Australian Football Club Incorporated,Yeppoon,Livingstone (S),Keppel,Yeppoon,95
2000001397,9NHZGJK7,9,,Yes,Australian Football,Yeppoon Australian Football Club Incorporated,Yeppoon,Livingstone (S),Keppel,Yeppoon,95
2000002245,BHDE98V4,10,,Yes,Australian Football,Fraser Coast Cubs Inc,Torquay,Fraser Coast (R),Hervey Bay,Eli Waters,99
2000006050,459DAFUF,12,,No,Australian Football,Fraser Coast Cubs Inc,Torquay,Fraser Coast (R),Hervey Bay,Point Vernon,99
2000012709,XBC6Z0XA,13,,Yes,Australian Football,Caloundra Junior Australian Rules Football Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Caloundra,99
2000008620,G7IO0LCX,7,,Yes,Australian Football,Warwick AFC Inc,Warwick,Southern Downs (R),Southern Downs,Warwick,100
2000001066,USPD116Q,10,,Yes,Australian Football,Brothers Bulldogs Australian Football Club Inc,Bundaberg,Bundaberg (R),Bundaberg,Kelvin Grove,100
2000001029,CENRKR2P,12,,Yes,Australian Football,Brothers Bulldogs Australian Football Club Inc,Bundaberg,Bundaberg (R),Bundaberg,Kelvin Grove,100
2000010726,0B7LN4JE,13,,Yes,Australian Football,Broadbeach Junior Australian Football Club Inc,Mermaid Waters,Gold Coast (C),Mermaid Beach,Burleigh Waters,100
2000000988,J6T0Z3ED,14,,Yes,Australian Football,Brothers Bulldogs Australian Football Club Inc,Bundaberg,Bundaberg (R),Bundaberg,Kelvin Grove,100
2000008575,U7QN7785,15,,Yes,Australian Football,BAY POWER AUSTRALIAN FOOTBALL CLUB INC,Urangan,Hervey Bay,Hervey Bay,Point Vernon,100
2000008576,95943DP2,16,,Yes,Australian Football,BAY POWER AUSTRALIAN FOOTBALL CLUB INC,Urangan,Hervey Bay,Hervey Bay,Point Vernon,100
2000013311,HMSMJGSO,6,,Yes,Australian Football,Collingwood Park Power Junior Australian Football,Redbank Plains,Ipswich (C),Bundamba,Springfield Lakes,109
2000011160,SLGJB2JK,6,,No,Australian Football,Southport Junior Australian Football Club Inc,Southport,Gold Coast (C),Southport,Upper Coomera,110
2000004472,83C2D938,10,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Harristown,110
2000009839,GPI86XW6,11,,Yes,Australian Football,Port Douglas Junior Football Club Inc,Port Douglas,Douglas (S),Cook,Mossman,110
2000001901,1YOLXM33,11,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Kearneys Spring,110
2000006809,CV376TYD,11,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Toowoomba,110
2000004023,2H9U63RA,12,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Harristown,110
2000004249,VJ1IGR99,13,,Yes,Australian Football,South Toowoomba Australian Football Club Inc,Harristown,Toowoomba (R),Toowoomba South,Centenary Heights,110
2000004465,P9WE0UXK,13,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Harristown,110
2000006822,2ZVZFF99,15,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Toowoomba,110
2000012134,FL9RFNGC,15,,Yes,Australian Football,University of Southern Queensland Australian Football,Darling Heights,Toowoomba (R),Condamine,Westbrook,110
2000004310,H5V2TZR3,17,,Yes,Australian Football,South Toowoomba Australian Football Club Inc,Harristown,Toowoomba (R),Toowoomba South,Centenary Heights,110
