LGA_2011,Local Government Areas - 2011,INDEX_TYPE,Index Type,MEASURE,Measure,Value
10250,Ballina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1120
10250,Ballina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,39263
10300,Balranald (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,929
10300,Balranald (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,889
10300,Balranald (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1029
10300,Balranald (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2284
10350,Bankstown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,946
10350,Bankstown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,615
10350,Bankstown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1122
10350,Bankstown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,182366
10470,Bathurst Regional (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,985
10470,Bathurst Regional (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,732
10470,Bathurst Regional (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1136
10470,Bathurst Regional (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,38514
10550,Bega Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,951
10550,Bega Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,733
10550,Bega Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1059
10550,Bega Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,31951
10600,Bellingen (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,942
10600,Bellingen (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,833
10600,Bellingen (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1018
10600,Bellingen (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,12524
10650,Berrigan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,938
10650,Berrigan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,842
10650,Berrigan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1043
10650,Berrigan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,8067
10750,Blacktown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,974
10750,Blacktown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,556
10750,Blacktown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1194
10750,Blacktown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,301125
10800,Bland (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,959
10800,Bland (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,807
10800,Bland (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1045
10800,Bland (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,5868
10850,Blayney (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,973
10850,Blayney (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,812
10850,Blayney (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1111
10850,Blayney (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,6980
10900,Blue Mountains (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1038
10900,Blue Mountains (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,797
10900,Blue Mountains (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1165
10900,Blue Mountains (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,75930
10950,Bogan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,934
10950,Bogan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,858
10950,Bogan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1059
10950,Bogan (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2897
11000,Bombala (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,936
11000,Bombala (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,836
11000,Bombala (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1012
11000,Bombala (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2411
11050,Boorowa (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,954
11050,Boorowa (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,881
11050,Boorowa (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1080
11050,Boorowa (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2397
11100,Botany Bay (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,985
11100,Botany Bay (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,532
11100,Botany Bay (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1140
11100,Botany Bay (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,39378
11150,Bourke (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,934
11150,Bourke (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,788
11150,Bourke (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1029
11150,Bourke (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2870
11200,Brewarrina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,816
11200,Brewarrina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,750
11200,Brewarrina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,954
11200,Brewarrina (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,1767
11250,Broken Hill (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,888
11250,Broken Hill (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,788
11250,Broken Hill (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1078
11250,Broken Hill (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,18521
11300,Burwood (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1022
11300,Burwood (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,921
11300,Burwood (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1089
11300,Burwood (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,32428
11350,Byron (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,979
11350,Byron (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,843
11350,Byron (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1092
11350,Byron (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,29233
11400,Cabonne (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,993
11400,Cabonne (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,810
11400,Cabonne (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1133
11400,Cabonne (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,12836
11450,Camden (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1056
11450,Camden (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,793
11450,Camden (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1206
11450,Camden (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,56724
11500,Campbelltown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,943
11500,Campbelltown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,480
11500,Campbelltown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1162
11500,Campbelltown (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,145938
11520,Canada Bay (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1086
11520,Canada Bay (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,859
11520,Canada Bay (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1166
11520,Canada Bay (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,75750
11550,Canterbury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,939
11550,Canterbury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,536
11550,Canterbury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1099
11550,Canterbury (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,137406
11600,Carrathool (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,959
11600,Carrathool (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,884
11600,Carrathool (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1035
11600,Carrathool (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,2580
11700,Central Darling (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,841
11700,Central Darling (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,550
11700,Central Darling (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1011
11700,Central Darling (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,1989
11720,Cessnock (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,922
11720,Cessnock (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,590
11720,Cessnock (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1132
11720,Cessnock (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,50818
11730,Clarence Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,907
11730,Clarence Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,688
11730,Clarence Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1056
11730,Clarence Valley (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,49681
11750,Cobar (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,944
11750,Cobar (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,503
11750,Cobar (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1056
11750,Cobar (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4727
11800,Coffs Harbour (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,950
11800,Coffs Harbour (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,626
11800,Coffs Harbour (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1111
11800,Coffs Harbour (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,68428
11860,Conargo (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1039
11860,Conargo (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,1018
11860,Conargo (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1056
11860,Conargo (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,1535
12000,Coolamon (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,960
12000,Coolamon (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,836
12000,Coolamon (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1073
12000,Coolamon (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4107
12050,Cooma-Monaro (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,976
12050,Cooma-Monaro (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,865
12050,Cooma-Monaro (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1156
12050,Cooma-Monaro (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,9767
12150,Coonamble (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,887
12150,Coonamble (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,749
12150,Coonamble (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1124
12150,Coonamble (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4039
12200,Cootamundra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,928
12200,Cootamundra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,780
12200,Cootamundra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1071
12200,Cootamundra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,7344
12300,Corowa Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,943
12300,Corowa Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,815
12300,Corowa Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1054
12300,Corowa Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,10997
12350,Cowra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,919
12350,Cowra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,741
12350,Cowra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1078
12350,Cowra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,12155
12500,Deniliquin (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,926
12500,Deniliquin (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,707
12500,Deniliquin (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1072
12500,Deniliquin (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,7125
12600,Dubbo (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,965
12600,Dubbo (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,516
12600,Dubbo (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1137
12600,Dubbo (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,38826
12700,Dungog (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,978
12700,Dungog (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,847
12700,Dungog (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1076
12700,Dungog (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,8318
12750,Eurobodalla (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,940
12750,Eurobodalla (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,601
12750,Eurobodalla (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1063
12750,Eurobodalla (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,35773
12850,Fairfield (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,886
12850,Fairfield (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,573
12850,Fairfield (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1130
12850,Fairfield (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,187793
12900,Forbes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,936
12900,Forbes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,688
12900,Forbes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1084
12900,Forbes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,9165
12950,Gilgandra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,911
12950,Gilgandra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,750
12950,Gilgandra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1041
12950,Gilgandra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4355
13010,Glen Innes Severn (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,914
13010,Glen Innes Severn (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,785
13010,Glen Innes Severn (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1052
13010,Glen Innes Severn (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,8658
13050,Gloucester (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,937
13050,Gloucester (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,821
13050,Gloucester (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1027
13050,Gloucester (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4867
13100,Gosford (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,1001
13100,Gosford (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,603
13100,Gosford (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1162
13100,Gosford (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,162460
13310,Goulburn Mulwaree (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,944
13310,Goulburn Mulwaree (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,697
13310,Goulburn Mulwaree (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1107
13310,Goulburn Mulwaree (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,27453
13320,Great Lakes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,920
13320,Great Lakes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,535
13320,Great Lakes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1058
13320,Great Lakes (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,34435
13340,Greater Hume Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,976
13340,Greater Hume Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,874
13340,Greater Hume Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1082
13340,Greater Hume Shire (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,9814
13380,Greater Taree (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,906
13380,Greater Taree (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,532
13380,Greater Taree (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1076
13380,Greater Taree (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,46551
13450,Griffith (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,951
13450,Griffith (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,553
13450,Griffith (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1123
13450,Griffith (C),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,24380
13500,Gundagai (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,945
13500,Gundagai (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,868
13500,Gundagai (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1051
13500,Gundagai (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,3656
13550,Gunnedah (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,936
13550,Gunnedah (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,775
13550,Gunnedah (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1072
13550,Gunnedah (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,12079
13650,Guyra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,921
13650,Guyra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,708
13650,Guyra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1057
13650,Guyra (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,URP,Usual resident population,4393
13660,Gwydir (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,SCORE,Score,934
13660,Gwydir (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MINS,Minimum score for SA1s in area,820
13660,Gwydir (A),IRSAD,Index of Relative Socio-economic Advantage and Disadvantage,MAXS,Maximum score for SA1s in area,1060
